question_type	question_text	required	page_number	option_text	option_values	variables
instruction	Welcome to this survey. Press <strong>next</strong> to begin.	0	1			
instruction	When I was growing up:	0	2			
radio	"1. People in my family called me things like stupid, lazy, or ugly."	1	2	"never true, rarely true, sometimes true, often true, very often true"	"1, 2, 3, 4, 5"	ctq_1
radio	2. I thought that my parents wished I had never been born.	1	2	"never true, rarely true, sometimes true, often true, very often true"	"1, 2, 3, 4, 5"	ctq_2
radio	3. I felt that someone in my family hated me.	1	2	"never true, rarely true, sometimes true, often true, very often true"	"1, 2, 3, 4, 5"	ctq_3
radio	4. People in my family said hurtful or insulting things to me.	1	2	"never true, rarely true, sometimes true, often true, very often true"	"1, 2, 3, 4, 5"	ctq_4
radio	5. I believe I was emotionally abused.	1	2	"never true, rarely true, sometimes true, often true, very often true"	"1, 2, 3, 4, 5"	ctq_5
radio	6. I got hit so hard by someone in my family that I had to see a doctor or go to the hospital.	1	2	"never true, rarely true, sometimes true, often true, very often true"	"1, 2, 3, 4, 5"	ctq_6
radio	7. People in my family hit me so hard that it left me with bruises or marks.	1	2	"never true, rarely true, sometimes true, often true, very often true"	"1, 2, 3, 4, 5"	ctq_7
radio	"8. I was punished with a belt, a board, a cord, or some other hard object."	1	2	"never true, rarely true, sometimes true, often true, very often true"	"1, 2, 3, 4, 5"	ctq_8
radio	9. I believe that I was physically abused.	1	2	"never true, rarely true, sometimes true, often true, very often true"	"1, 2, 3, 4, 5"	ctq_9
radio	"10. I got hit or beaten so badly that it was noticed by someone like a teacher, neighbour, or doctor."	1	2	"never true, rarely true, sometimes true, often true, very often true"	"1, 2, 3, 4, 5"	ctq_10
radio	"11. Someone tried to touch me in a sexual way, or tried to make me touch them."	1	2	"never true, rarely true, sometimes true, often true, very often true"	"1, 2, 3, 4, 5"	ctq_11
radio	12. Someone threatened to hurt me or tell lies about me unless I did something sexual with them.	1	2	"never true, rarely true, sometimes true, often true, very often true"	"1, 2, 3, 4, 5"	ctq_12
radio	13. Someone tried to make me do sexual things or watch sexual things.	1	2	"never true, rarely true, sometimes true, often true, very often true"	"1, 2, 3, 4, 5"	ctq_13
radio	14. Someone molested me.	1	2	"never true, rarely true, sometimes true, often true, very often true"	"1, 2, 3, 4, 5"	ctq_14
radio	15. I believe that I was sexually abused.	1	2	"never true, rarely true, sometimes true, often true, very often true"	"1, 2, 3, 4, 5"	ctq_15
radio	16. There was someone in my family who helped me feel that I was important or special.	1	2	"never true, rarely true, sometimes true, often true, very often true"	"1, 2, 3, 4, 5"	ctq_16
radio	17. I felt loved.	1	2	"never true, rarely true, sometimes true, often true, very often true"	"1, 2, 3, 4, 5"	ctq_17
radio	18. People in my family looked out for each other.	1	2	"never true, rarely true, sometimes true, often true, very often true"	"1, 2, 3, 4, 5"	ctq_18
radio	19. People in my family felt close to each other.	1	2	"never true, rarely true, sometimes true, often true, very often true"	"1, 2, 3, 4, 5"	ctq_19
radio	20. My family was a source of strength and support.	1	2	"never true, rarely true, sometimes true, often true, very often true"	"1, 2, 3, 4, 5"	ctq_20
radio	21. I didn’t have enough to eat.	1	2	"never true, rarely true, sometimes true, often true, very often true"	"1, 2, 3, 4, 5"	ctq_21
radio	22. I knew that there was someone to take care of me and protect me.	1	2	"never true, rarely true, sometimes true, often true, very often true"	"1, 2, 3, 4, 5"	ctq_22
radio	23. My parents were too drunk or high to take care of the family.	1	2	"never true, rarely true, sometimes true, often true, very often true"	"1, 2, 3, 4, 5"	ctq_23
radio	24. I had to wear dirty clothes.	1	2	"never true, rarely true, sometimes true, often true, very often true"	"1, 2, 3, 4, 5"	ctq_24
radio	25. There was someone to take me to the doctor if I needed it.	1	2	"never true, rarely true, sometimes true, often true, very often true"	"1, 2, 3, 4, 5"	ctq_25
radio	26. There was nothing I wanted to change about my family.	1	2	"never true, rarely true, sometimes true, often true, very often true"	"1, 2, 3, 4, 5"	ctq_26
radio	27. I had the perfect childhood.	1	2	"never true, rarely true, sometimes true, often true, very often true"	"1, 2, 3, 4, 5"	ctq_27
radio	28. I had the best family in the world.	1	2	"never true, rarely true, sometimes true, often true, very often true"	"1, 2, 3, 4, 5"	ctq_28
instruction	Congratulations for completing this survey! Press <strong>finish</strong> to continue.	0	3			
