question_type	question_text	required	page_number	option_text	option_values	variables
instruction	Welcome to this survey. Press <strong>next</strong> to begin.	0	1			
instruction	The following questions relate to your usual sleep habits during the past month only. Your answers should indicate the most accurate reply for the majority of days and nights in the past month. Please answer all questions.	0	2			
textfield	"1. During the past month, what time have you usually gone to bed at night? (hour:minutes AM/PM)"	1	3			psqi_1
numeric	"2. During the past month, how long (in minutes) has it usually taken you to fall asleep each night?"	1	3			psqi_2
textfield	"3. During the past month, what time have you usually gotten up in the morning?  (hour:minutes AM/PM)"	1	3			psqi_3
numeric	"4. During the past month, how many hours of actual sleep did you get at night? (This may be different than the number of hours you spent in bed.)"	1	3			psqi_4
instruction	"For each of the remaining questions, check the one best response. Please answer all questions."	0	3			
instruction	"5. During the past month, how often have you had trouble sleeping because you . . ."					
radio	a) Cannot get to sleep within 30 minutes	1	3	"Not during the past month, Less than once a week, Once or twice a week, Three or more times a week"	"0, 1, 2, 3"	psqi_5
radio	b) Wake up in the middle of the night or early morning	1	3	"Not during the past month, Less than once a week, Once or twice a week, Three or more times a week"	"0, 1, 2, 3"	psqi_6
radio	c) Have to get up to use the bathroom	1	3	"Not during the past month, Less than once a week, Once or twice a week, Three or more times a week"	"0, 1, 2, 3"	psqi_7
radio	d) Cannot breathe comfortably	1	3	"Not during the past month, Less than once a week, Once or twice a week, Three or more times a week"	"0, 1, 2, 3"	psqi_8
radio	e) Cough or snore loudly	1	3	"Not during the past month, Less than once a week, Once or twice a week, Three or more times a week"	"0, 1, 2, 3"	psqi_9
radio	f) Feel too cold	1	3	"Not during the past month, Less than once a week, Once or twice a week, Three or more times a week"	"0, 1, 2, 3"	psqi_10
radio	g) Feel too hot	1	3	"Not during the past month, Less than once a week, Once or twice a week, Three or more times a week"	"0, 1, 2, 3"	psqi_11
radio	h) Had bad dreams	1	3	"Not during the past month, Less than once a week, Once or twice a week, Three or more times a week"	"0, 1, 2, 3"	psqi_12
radio	i) Have pain	1	3	"Not during the past month, Less than once a week, Once or twice a week, Three or more times a week"	"0, 1, 2, 3"	psqi_13
textfield	"j) Other reason(s), please describe:"	1	3	"Not during the past month, Less than once a week, Once or twice a week, Three or more times a week"	"0, 1, 2, 3"	psqi_14
radio	How often during the past month have you had trouble sleeping because of this?	0	3	"Not during the past month, Less than once a week, Once or twice a week, Three or more times a week"	"0, 1, 2, 3"	psqi_15
radio	"6. During the past month, how would you rate your sleep quality overall?"	1	3	"Very good, Fairly good, Fairly bad, Very bad"	"0, 1, 2, 3"	psqi_16
radio	"7. During the past month, how often have you taken medicine to help you sleep (prescribed or ""over the counter"")?"	1	3	"Not during the past month, Less than once a week, Once or twice a week, Three or more times a week"	"0, 1, 2, 3"	psqi_17
radio	"8. During the past month, how often have you had trouble staying awake while driving, eating meals, or engaging in social activity?"	1	3	"Not during the past month, Less than once a week, Once or twice a week, Three or more times a week"	"0, 1, 2, 3"	psqi_18
radio	"9. During the past month, how much of a problem has it been for you to keep up enough enthusiasm to get things done?"	1	3	"No problem at all, Only a very slight problem, Somewhat of a problem, A very big problem"	"0, 1, 2, 3"	psqi_19
radio	10. Do you have a bed partner or room mate?	1	3	"No bed partner or room mate, Partner/room mate in other room, Partner in same room but not same bed, Partner in same bed"	"0, 1, 2, 3"	psqi_20
instruction	"If you have a room mate or bed partner, ask him/her how often in the past month you have had . . ."	0	3	"Not during the past month, Less than once a week, Once or twice a week, Three or more times a week"	"0, 1, 2, 3"	
radio	a) Loud snoring	1	3	"Not during the past month, Less than once a week, Once or twice a week, Three or more times a week"	"0, 1, 2, 3"	psqi_21
radio	b) Long pauses between breaths while asleep	1	3	"Not during the past month, Less than once a week, Once or twice a week, Three or more times a week"	"0, 1, 2, 3"	psqi_22
radio	c) Legs twitching or jerking while you sleep	1	3	"Not during the past month, Less than once a week, Once or twice a week, Three or more times a week"	"0, 1, 2, 3"	psqi_23
radio	d) Episodes of disorientation or confusion during sleep	1	3	"Not during the past month, Less than once a week, Once or twice a week, Three or more times a week"	"0, 1, 2, 3"	psqi_24
textfield	e) Other restlessness while you sleep; please describe:	0	3			psqi_25
radio		0	3	"Not during the past month, Less than once a week, Once or twice a week, Three or more times a week"	"0, 1, 2, 3"	psqi_26
instruction	Congratulations for completing this survey! Press <strong>finish</strong> to continue.	0	4			
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
instruction	Congratulations for completing this survey! Press <strong>finish</strong> to continue.	0	41			
