question_type	question_text	required	page_number	option_text	option_values	variables
instruction	Welcome to this survey. Press <strong>next</strong> to begin.	0	1			
instruction	"For each behavior, fill-in how many times you did it in your lifetime (A) & the total number of times you did it the past month (B). Enter one number for each time period, even if it is your best guess. Please do not put a range, but enter a single number (e.g., behaviors engaged in everyday for multiple years can be written in as 1000+, behaviors engaged in daily for a single year can be written in as 365, any other frequency should be estimated using your best guess). If you have ever done the behavior, write how old you were the first time (C) and check the box if the behavior ever caused you any problems, regardless of the specific problem (D). For the last two columns (E & F), use the scale to rate how much you agree with each statement from 0 = Strongly Disagree to 4 = Strongly Agree. Please provide ratings for both statements (E & F) and treat them as separate questions."	0	2			
instruction	Behavior: Shoplifted things	0	3			
numeric	(A) How many times total have you done this in your life?	1	3			beh_1_total
numeric	(B)How many times have you done this in the past month?	1	3			beh_1_month
numeric	(C) How old were you the first time?	1	3			beh_1_age
radio	"(D) Did it ever cause you any problems, such as
¥ going to the hospital
¥ legal trouble
¥ problems at work, with family or friends"	1	3	"Yes, No, N/A"	"1, 0, 2"	beh_1_problems
radio	"(E) I do this behavior to stop feeling upset, distressed, or overwhelmed."	1	3	"Strongly Disgree, Somewhat Disagree, Equally Disagree/Agree, Somewhat Agree, Strongly Agree"	"0, 1, 2, 3, 4"	beh_1_neg
radio	"(F) I do this behavior to feel excitement, to get a thrill, or to feel pleasure."	1	3	"Strongly Disgree, Somewhat Disagree, Equally Disagree/Agree, Somewhat Agree, Strongly Agree"	"0, 1, 2, 3, 4"	beh_1_pos
instruction	Behavior: Drove 30mph or faster over the speed limit	0	4			
numeric	(A) How many times total have you done this in your life?	1	4			beh_2_total
numeric	(B)How many times have you done this in the past month?	1	4			beh_2_month
numeric	(C) How old were you the first time?	1	4			beh_2_age
radio	"(D) Did it ever cause you any problems, such as
¥ going to the hospital
¥ legal trouble
¥ problems at work, with family or friends"	1	4	"Yes, No, N/A"	"1, 0, 2"	beh_2_problems
radio	"(E) I do this behavior to stop feeling upset, distressed, or overwhelmed."	1	4	"Strongly Disgree, Somewhat Disagree, Equally Disagree/Agree, Somewhat Agree, Strongly Agree"	"0, 1, 2, 3, 4"	beh_2_neg
radio	"(F) I do this behavior to feel excitement, to get a thrill, or to feel pleasure."	1	4	"Strongly Disgree, Somewhat Disagree, Equally Disagree/Agree, Somewhat Agree, Strongly Agree"	"0, 1, 2, 3, 4"	beh_2_pos
instruction	"Behavior: Bet on sports, horses, or other animals"	0	5			
numeric	(A) How many times total have you done this in your life?	1	5			beh_3_total
numeric	(B)How many times have you done this in the past month?	1	5			beh_3_month
numeric	(C) How old were you the first time?	1	5			beh_3_age
radio	"(D) Did it ever cause you any problems, such as
¥ going to the hospital
¥ legal trouble
¥ problems at work, with family or friends"	1	5	"Yes, No, N/A"	"1, 0, 2"	beh_3_problems
radio	"(E) I do this behavior to stop feeling upset, distressed, or overwhelmed."	1	5	"Strongly Disgree, Somewhat Disagree, Equally Disagree/Agree, Somewhat Agree, Strongly Agree"	"0, 1, 2, 3, 4"	beh_3_neg
radio	"(F) I do this behavior to feel excitement, to get a thrill, or to feel pleasure."	1	5	"Strongly Disgree, Somewhat Disagree, Equally Disagree/Agree, Somewhat Agree, Strongly Agree"	"0, 1, 2, 3, 4"	beh_3_pos
instruction	Behavior: Used cocaine or crack	0	6			
numeric	(A) How many times total have you done this in your life?	1	6			beh_4_total
numeric	(B)How many times have you done this in the past month?	1	6			beh_4_month
numeric	(C) How old were you the first time?	1	6			beh_4_age
radio	"(D) Did it ever cause you any problems, such as
¥ going to the hospital
¥ legal trouble
¥ problems at work, with family or friends"	1	6	"Yes, No, N/A"	"1, 0, 2"	beh_4_problems
radio	"(E) I do this behavior to stop feeling upset, distressed, or overwhelmed."	1	6	"Strongly Disgree, Somewhat Disagree, Equally Disagree/Agree, Somewhat Agree, Strongly Agree"	"0, 1, 2, 3, 4"	beh_4_neg
radio	"(F) I do this behavior to feel excitement, to get a thrill, or to feel pleasure."	1	6	"Strongly Disgree, Somewhat Disagree, Equally Disagree/Agree, Somewhat Agree, Strongly Agree"	"0, 1, 2, 3, 4"	beh_4_pos
instruction	Behavior: Bought drugs.	0	7			
numeric	(A) How many times total have you done this in your life?	1	7			beh_5_total
numeric	(B)How many times have you done this in the past month?	1	7			beh_5_month
